Isolate	NUM_FOUND	ARR-3_4	OqxA_1	OqxB_1	TOprJ1_1	aac(3)-IIa_1	aac(3)-IIa_6	aac(3)-IId_1	aac(3)-IVa_1	aac(6')-Ib-cr_1	aadA16_1	aadA1_3	aadA2_1	aadA2_2	ant(3'')-Ia_1	aph(3'')-Ib_2	aph(3'')-Ib_5	aph(3')-IIa_2	aph(3')-Ia_1	aph(3')-Ia_7	aph(4)-Ia_1	aph(6)-Id_1	armA_1	blaCTX-M-123_1	blaCTX-M-14_1	blaCTX-M-15_1	blaCTX-M-162_1	blaCTX-M-27_1	blaCTX-M-3_1	blaCTX-M-55_1	blaCTX-M-65_1	blaDHA-1_1	blaKPC-2_1	blaKPC-35_1	blaLAP-2_1	blaNDM-1_1	blaNDM-5_1	blaOXA-10_1	blaOXA-1_1	blaOXA-232_1	blaOXA-48_1	blaSFO-1_1	blaSHV-106_1	blaSHV-108_1	blaSHV-110_1	blaSHV-119_1	blaSHV-11_1	blaSHV-12_1	blaSHV-145_1	blaSHV-158_1	blaSHV-172_1	blaSHV-178_1	blaSHV-187_1	blaSHV-190_1	blaSHV-26_1	blaSHV-27_1	blaSHV-28_1	blaSHV-33_1	blaSHV-36_1	blaSHV-62_1	blaSHV-63_1	blaSHV-65_1	blaSHV-75_1	blaTEM-141_1	blaTEM-171_1	blaTEM-1A_1	blaTEM-1B_1	bleO_1	catA1_1	catA2_1	cmlA1_1	dfrA12_8	dfrA14_5	dfrA17_1	dfrA1_10	dfrA1_8	dfrA27_1	floR_2	fosA3_1	fosA5_1	fosA6_1	fosA_3	fosA_5	fosA_6	mef(B)_1	mph(A)_2	mph(E)_1	msr(E)_1	qnrB1_1	qnrB4_1	qnrB52_1	qnrB6_2	qnrB91_1	qnrS1_1	qnrS2_1	rmtB_1	rmtF_1	sul1_5	sul2_2	sul2_3	sul3_2	tet(A)_1	tet(A)_4	tet(A)_6	tet(D)_1	tmexC1_1	tmexD1_1
KP678.fasta	4	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KP679.fasta	4	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KP695.fasta	4	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KP7.fasta	13	.	100.00	100.00	.	.	.	.	.	.	.	.	97.92	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	90.73	.	.	.	100.00	.	.	.	.	.	99.92	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	97.80	.	.	.
KP707.fasta	13	.	.	.	.	.	.	.	.	.	.	.	97.44	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	81.31	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP708.fasta	13	.	.	.	.	.	.	.	.	.	.	.	99.27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP709.fasta	18	.	100.00	100.00	.	.	100.00	.	99.87	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	99.92	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	97.80	.	.	.
KP710.fasta	18	.	100.00	100.00	.	.	100.00	.	99.87	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	99.92	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	97.80	.	.	.
KP711.fasta	13	.	.	.	.	.	.	.	.	.	.	.	99.27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP712.fasta	13	.	.	.	.	.	.	.	.	.	.	.	99.27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	81.31	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP713.fasta	13	.	.	.	.	.	.	.	.	.	.	.	99.27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	81.31	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP714.fasta	13	.	.	.	.	.	.	.	.	.	.	.	99.27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP715.fasta	12	.	.	.	.	.	.	.	.	.	.	.	99.27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP716.fasta	13	.	.	.	.	.	.	.	.	.	.	.	99.27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP717.fasta	13	.	.	.	.	.	.	.	.	.	.	.	99.27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP718.fasta	13	.	.	.	.	.	.	.	.	.	.	.	99.27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP719.fasta	13	.	.	.	.	.	.	.	.	.	.	.	99.27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP720.fasta	13	.	.	.	.	.	.	.	.	.	.	.	99.27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP721.fasta	13	.	.	.	.	.	.	.	.	.	.	.	99.27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP722.fasta	13	.	.	.	.	.	.	.	.	.	.	.	99.27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP723.fasta	14	100.00	.	.	.	.	.	.	.	.	.	.	.	.	83.54	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	97.80	.	.	.
KP724.fasta	16	100.00	.	.	.	.	.	.	.	.	.	.	.	.	83.54	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP725.fasta	15	100.00	.	.	.	.	.	.	.	.	.	.	.	.	83.54	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP726.fasta	16	100.00	.	.	.	.	.	.	.	.	.	.	.	.	83.54	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP727.fasta	16	100.00	.	.	.	.	.	.	.	.	.	.	.	.	83.54	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP728.fasta	16	100.00	.	.	.	.	.	.	.	.	.	.	.	.	83.54	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP729.fasta	16	100.00	.	.	.	.	.	.	.	.	.	.	.	.	83.54	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP730.fasta	16	100.00	.	.	.	.	.	.	.	.	.	.	.	.	83.54	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP731.fasta	16	100.00	.	.	.	.	.	.	.	.	.	.	.	.	83.54	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP732.fasta	16	100.00	.	.	.	.	.	.	.	.	.	.	.	.	83.54	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP733.fasta	12	.	.	.	.	.	.	.	.	.	.	.	99.27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP734.fasta	11	.	.	.	.	.	.	.	.	.	.	.	99.27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP735.fasta	9	.	100.00	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.
KP736.fasta	10	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	97.80	.	.	.
KP737.fasta	4	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KP738.fasta	4	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KP739.fasta	15	.	100.00	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	99.05	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	97.80	.	.	.
KP740.fasta	21	90.79	100.00	100.00	.	.	.	100.00	.	100.00	100.00	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	99.92	.	.	.	.	98.33	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	100.00;100.00	.	100.00	.	.	.	97.80	.	.	.
KP741.fasta	6	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.
KP742.fasta	13	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	100.00	.	.	.	.	97.80	.	.	.
KP743.fasta	10	.	.	.	.	.	.	.	.	.	.	.	99.27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	97.80	.	.	.
KP744.fasta	10	.	.	.	.	.	.	.	.	.	.	.	99.27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	97.80	.	.	.
KP745.fasta	8	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
KP746.fasta	18	.	100.00	100.00	.	.	.	.	.	.	.	.	99.27	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP747.fasta	18	.	100.00	100.00	.	.	.	.	.	.	.	.	99.27	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP748.fasta	16	.	100.00	100.00	.	.	.	.	.	.	.	.	99.27	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP749.fasta	13	.	.	.	.	.	.	.	.	.	.	.	99.27	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP750.fasta	5	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KP751.fasta	12	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	97.80	.	.	.
KP752.fasta	16	.	100.00	100.00	.	.	.	.	.	.	.	.	99.27	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	97.80	.	.	.
KP753.fasta	5	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KP754.fasta	5	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
